CustomerID,FirstName,LastName,DOB,Email,Phone
61,David,Williams,1977-05-01,david61@example.com,984-180-5989
62,Frank,Perez,1982-12-09,frank62@example.com,450-896-7998
63,Uma,Martin,1987-05-21,uma63@example.com,199-218-3278
64,Leo,Martin,1967-11-02,leo64@example.com,415-178-3364
65,Xander,Lopez,1986-04-11,xander65@example.com,593-482-5096
66,Mona,Johnson,1974-05-01,mona66@example.com,668-979-4035
67,Kathy,Thompson,1989-02-10,kathy67@example.com,597-730-6251
68,Tina,Davis,1977-01-16,tina68@example.com,424-723-6116
69,Jack,Martinez,1991-06-05,jack69@example.com,109-884-9291
70,Leo,White,1967-05-21,leo70@example.com,647-808-1726
71,Hank,Miller,1988-11-06,hank71@example.com,114-937-3350
72,Vince,Hernandez,1962-09-11,vince72@example.com,224-760-7802
73,Uma,Thompson,1973-02-08,uma73@example.com,796-766-3040
74,Rose,Smith,1999-03-05,rose74@example.com,134-418-1494
75,Sam,Johnson,1961-02-24,sam75@example.com,571-997-9740
76,Xander,Perez,1971-03-22,xander76@example.com,453-922-1192
77,Quincy,Smith,1968-01-27,quincy77@example.com,209-281-5787
78,Bob,Davis,1982-06-19,bob78@example.com,879-892-8656
79,Jack,Miller,1971-05-07,jack79@example.com,664-381-8855
80,Vince,Davis,1978-02-07,vince80@example.com,985-400-8903
81,David,Miller,1991-10-15,david81@example.com,699-586-1904
82,Rose,Hernandez,1973-02-25,rose82@example.com,655-220-8264
83,Alice,Lee,1997-08-22,alice83@example.com,998-267-8571
84,Paul,Brown,1962-06-06,paul84@example.com,194-890-7240
85,Grace,Perez,1980-11-12,grace85@example.com,110-883-4136
86,Frank,Lopez,1989-04-21,frank86@example.com,675-767-3973
87,Eve,Lopez,1994-03-24,eve87@example.com,431-262-6789
88,Eve,Jones,1982-11-13,eve88@example.com,917-565-7532
89,Eve,Jones,1976-06-15,eve89@example.com,788-655-1410
90,Tina,Miller,1982-07-01,tina90@example.com,128-484-1134
91,Jack,Rodriguez,1986-01-21,jack91@example.com,695-807-6436
92,Sam,Davis,1997-07-13,sam92@example.com,784-486-2838
93,Alice,Johnson,1977-04-23,alice93@example.com,400-859-7299
94,Mona,Thomas,1982-04-16,mona94@example.com,162-296-3177
95,Sam,Gonzalez,1973-02-02,sam95@example.com,729-615-2300
96,Oscar,Hernandez,1963-07-09,oscar96@example.com,499-872-4185
97,Paul,Johnson,1987-02-10,paul97@example.com,204-534-9110
98,Alice,Lee,1971-07-24,alice98@example.com,577-565-8859
99,Tina,Miller,1961-08-02,tina99@example.com,423-515-4907
100,Alice,Thomas,1971-05-09,alice100@example.com,717-487-2770
